RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,AverageMInFile,NumSatisfactoryTrades,PercentTradesNeverDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Bad,55,144,84,20,83,3,5,23,1,43,0,0,33,32,8,1,1,69
Bad,61,58,41,2,100,0,8,7,0,67,0,0,0,32,0,-8,2,0
Bad,67,66,24,9,100,7,8,9,4,44,0,4,53,66,4,2,1,86
Bad,66,169,73,28,93,6,6,30,3,57,0,5,72,83,6,4,3,91
Bad,81,333,132,12,100,7,8,12,0,25,0,1,51,89,3,1,0,80
Bad,59,137,78,31,91,4,6,32,1,47,0,0,62,93,12,4,3,94
Good,54,88,37,25,92,4,6,26,3,58,0,4,89,76,7,7,2,100
Good,68,148,65,17,83,6,6,18,1,44,0,0,28,48,2,2,2,40
Bad,59,324,138,24,85,4,6,27,1,26,0,1,68,32,7,1,3,90
Bad,61,79,36,19,95,4,6,19,3,26,0,6,31,86,5,3,1,62
Good,82,96,47,16,100,7,8,16,3,31,0,0,15,88,4,2,0,67
Bad,50,311,76,12,60,3,5,15,0,20,0,1,84,64,5,2,2,88
Bad,74,274,66,23,100,6,8,28,4,39,0,2,18,65,3,5,1,67
Good,69,256,117,11,100,7,8,14,1,8,0,0,13,32,2,-8,0,67
Bad,63,262,95,3,75,6,4,6,0,100,0,0,62,32,20,1,2,100
Bad,63,184,77,34,97,6,6,36,2,36,0,11,71,80,10,2,3,82
Bad,61,256,68,14,87,4,6,15,0,33,0,2,62,68,3,3,1,86
Bad,62,131,59,16,79,6,5,20,4,58,0,4,25,91,3,4,1,70
Bad,89,244,147,10,100,7,8,10,1,10,0,0,3,32,2,-8,0,50
Bad,65,43,26,15,100,7,8,17,2,25,0,4,31,83,5,1,0,75
Bad,57,147,73,27,97,0,2,31,2,48,0,4,44,87,3,2,3,56
Bad,72,365,83,22,100,7,8,22,1,41,0,0,49,23,6,2,1,73
Good,72,84,53,29,100,7,8,30,2,27,0,1,43,48,9,5,3,64
Bad,65,88,45,20,85,4,6,20,1,20,0,0,14,71,4,2,1,50
Bad,64,91,55,19,90,0,2,20,2,50,0,2,24,81,6,3,1,82
Bad,58,265,79,25,93,0,5,28,2,48,0,1,63,50,8,2,0,91
Bad,58,150,72,18,55,4,5,22,0,45,0,1,79,38,7,3,0,91
Bad,79,162,94,17,100,7,8,17,1,29,0,0,28,32,3,1,1,57
Bad,66,284,107,15,82,4,4,17,0,53,0,1,19,50,3,2,1,63
Bad,69,476,157,38,100,6,8,39,1,36,0,4,50,54,14,2,4,89
Good,71,179,62,15,83,6,2,18,4,33,0,5,5,9,1,1,0,22
Bad,54,114,49,9,64,0,2,12,0,27,0,0,62,14,6,2,1,100
Bad,68,133,44,39,100,6,8,39,4,67,0,2,15,73,5,2,0,50
Good,75,164,66,19,100,7,8,19,2,21,0,0,53,92,5,1,1,55
Bad,67,118,37,23,88,6,2,26,5,42,0,0,31,70,5,3,1,67
Good,88,153,92,13,100,7,8,14,0,7,0,0,1,32,1,-8,0,25
Bad,51,186,96,22,84,0,2,25,0,56,0,4,79,50,5,3,3,100
Bad,70,127,57,23,96,6,6,24,0,13,0,0,51,32,9,-8,1,67
Bad,65,116,37,14,93,6,2,15,1,13,0,2,52,32,3,1,2,56
Bad,78,21,13,11,100,7,8,11,5,64,0,3,7,32,3,-8,0,75
Good,86,318,90,13,100,7,8,13,0,62,0,0,0,44,0,2,2,50
Good,90,230,73,11,100,7,8,13,0,62,0,0,1,71,1,4,0,71
Bad,76,293,74,33,100,7,8,34,1,38,0,2,37,32,13,1,0,88
Bad,70,37,20,19,100,7,8,20,2,20,0,3,42,73,2,2,1,50
Bad,73,255,100,40,100,7,8,44,0,23,0,1,79,32,18,1,13,80
Bad,72,209,95,41,100,7,8,42,3,38,0,1,42,32,7,2,2,82
Good,83,398,118,29,100,7,8,29,2,31,0,3,22,87,6,3,0,69
Good,87,326,111,26,100,7,8,30,1,40,0,0,12,89,3,2,0,56
Bad,55,114,59,19,89,4,6,19,1,53,0,1,97,90,8,2,6,100
Bad,65,478,97,44,89,4,6,47,0,32,0,9,63,32,9,-8,6,60
Bad,78,197,91,15,100,7,8,17,0,41,0,5,57,32,2,2,2,67
Good,79,243,77,35,97,6,6,39,0,36,0,2,20,32,4,1,0,56
Bad,75,183,92,21,100,7,8,22,0,27,0,0,88,91,9,3,5,93
Bad,70,176,96,20,95,5,6,20,1,30,0,0,74,71,8,4,3,86
Bad,78,368,74,42,98,5,6,43,3,49,0,3,10,19,8,2,0,67
Bad,75,300,124,22,100,7,8,23,0,39,0,0,57,32,4,1,1,100
Bad,76,150,54,14,100,7,8,15,1,40,0,0,32,96,4,2,0,75
Bad,72,168,62,10,100,7,8,11,1,18,0,5,60,82,7,1,0,100
Bad,55,118,69,12,50,3,3,22,2,27,0,2,79,79,5,2,2,88
Bad,74,277,123,24,88,6,6,24,0,25,0,0,45,32,12,1,2,93
Bad,63,174,62,11,79,3,5,14,1,29,0,5,37,101,5,2,2,70
Bad,81,137,66,34,100,7,8,34,1,62,0,1,24,92,3,4,0,78
Good,81,126,78,18,100,7,8,18,1,83,0,0,0,64,1,3,2,80
Bad,59,243,79,38,76,4,6,43,1,50,0,1,63,78,7,4,4,86
Bad,66,176,81,43,98,4,6,44,1,39,0,2,36,64,3,4,1,47
Bad,72,169,60,21,96,6,3,23,1,52,0,4,66,82,4,3,1,78
Good,73,409,94,38,100,7,8,39,2,18,0,1,27,69,11,2,2,72
Bad,86,419,122,17,100,7,8,18,1,72,0,0,0,36,0,2,2,50
Bad,91,282,209,6,100,7,8,7,0,43,0,0,0,32,0,-8,2,0
Good,73,324,89,19,89,4,6,19,0,21,0,0,34,36,6,3,1,64
Good,78,134,63,35,93,6,6,40,3,40,0,0,22,55,5,4,0,60
Bad,65,155,37,20,95,4,6,21,1,38,0,2,49,87,5,5,1,67
Bad,75,70,38,8,100,7,8,9,1,78,0,4,17,32,2,1,2,100
Good,84,277,109,8,100,7,8,8,1,50,0,0,33,32,2,1,0,100
Good,75,294,94,39,98,6,6,40,0,35,0,2,17,32,6,5,0,61
Good,60,357,141,9,67,3,4,13,0,50,0,1,28,32,4,-8,2,100
Good,68,106,54,29,87,6,2,31,2,65,0,1,85,73,3,5,2,100
Bad,67,85,44,15,93,6,6,16,2,33,0,0,59,62,3,2,2,83
Bad,71,282,73,22,96,6,6,25,5,4,0,2,37,39,11,1,1,80
Bad,50,204,91,23,82,3,5,28,2,32,0,6,32,32,5,-8,0,67
Bad,62,151,99,5,80,6,6,6,0,80,0,0,40,75,1,2,0,100
Bad,70,333,75,16,100,5,8,20,8,30,0,0,78,92,6,2,4,67
Bad,58,307,79,14,73,6,5,15,2,53,0,0,81,75,3,3,2,86
Good,88,188,82,20,100,7,8,20,0,40,0,0,17,82,2,2,0,50
Bad,65,107,48,40,100,6,8,43,4,42,0,2,80,86,5,2,4,70
Bad,74,169,78,26,96,6,6,27,2,37,0,1,37,91,5,4,0,75
Bad,78,282,95,23,100,7,8,24,1,13,0,1,22,32,4,1,1,43
Good,74,378,110,41,98,6,6,42,4,57,0,0,44,76,4,5,2,69
Good,77,311,103,39,98,6,6,42,1,36,0,0,46,73,5,4,1,69
Bad,67,299,79,25,89,5,6,27,3,37,0,12,63,63,13,3,4,94
Good,56,76,32,11,92,5,2,14,5,17,0,3,83,42,5,2,2,100
Good,88,211,103,13,100,7,8,14,0,57,-7,0,0,19,2,3,0,71
Bad,75,169,59,21,100,7,8,22,4,36,-7,4,43,112,4,6,0,83
Bad,66,127,69,17,94,6,6,18,4,33,-7,3,42,81,3,4,3,58
Good,81,220,91,20,100,7,8,23,2,39,-7,2,36,32,3,1,1,67
Bad,71,177,95,24,96,6,6,24,1,75,-7,1,87,87,4,2,3,100
Bad,69,112,43,5,100,7,8,7,2,43,-7,1,37,58,3,2,0,83
Good,74,150,91,13,93,6,2,14,0,29,-7,0,36,32,1,1,1,40
Bad,56,224,109,27,79,4,6,28,0,21,-7,1,101,79,15,1,11,94
Bad,65,243,89,23,83,4,6,23,1,52,-7,0,49,75,4,4,1,80
Good,92,152,154,14,100,7,8,15,0,47,-7,0,7,79,2,2,0,80
Good,91,150,108,10,100,7,8,11,1,64,-7,1,2,41,1,3,0,67
Good,73,183,90,19,100,7,8,19,1,32,-7,0,6,52,1,2,0,50
Bad,66,255,80,14,88,4,6,16,3,69,-7,4,58,60,3,4,1,88
Bad,87,120,59,26,100,7,8,26,0,54,-7,1,1,32,2,1,0,75
Bad,64,246,106,5,88,6,3,8,0,88,-7,1,62,144,20,4,2,100
Bad,63,123,40,5,86,6,4,7,4,43,-7,0,77,32,3,1,1,100
Good,78,177,65,26,96,6,6,28,3,46,-7,1,4,72,4,5,0,64
Bad,75,212,105,11,82,6,6,11,0,45,-7,1,13,32,1,1,0,100
