ExternalRiskEstimate,MSinceOldestTradeOpen,AverageMInFile,NumSatisfactoryTrades,PercentTradesNeverDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
58,183,47,29,93,6,6,24,4,40,-7,0,53,77,8,5,3,72
61,395,103,8,73,4,6,11,0,18,23,0,79,32,5,-8,2,100
92,288,102,16,100,7,8,16,1,6,23,1,1,32,2,-8,0,29
64,165,52,9,82,6,4,12,1,18,0,2,9,100,2,1,0,50
58,336,52,27,100,0,8,54,5,29,1,2,34,63,6,4,3,63
81,276,77,34,100,7,8,39,3,0,7,0,13,32,5,-8,0,24
67,204,53,38,100,7,8,40,4,42,8,1,42,84,4,2,2,54
77,229,109,23,100,7,8,23,2,35,0,0,38,93,4,3,1,58
64,86,54,7,78,5,2,9,1,11,7,0,48,94,2,1,2,50
70,139,76,23,100,6,8,23,0,39,-7,0,39,53,4,2,1,100
64,153,55,8,78,4,4,9,2,22,0,0,28,32,4,1,0,71
64,107,38,10,83,6,2,12,4,25,0,1,42,90,4,2,1,75
66,142,46,5,83,6,2,6,1,17,4,3,49,32,3,-8,1,100
75,257,124,4,75,6,6,4,0,75,0,0,14,32,1,-8,2,100
79,177,68,18,100,7,8,19,2,37,4,1,13,98,2,3,0,56
71,206,75,11,91,4,6,11,3,45,4,1,71,32,1,1,0,67
74,52,31,10,100,7,8,10,0,60,0,0,38,61,2,3,2,83
73,210,138,49,94,4,6,41,3,57,-7,3,9,53,5,10,0,75
74,219,90,15,71,4,5,17,0,41,0,3,25,51,3,3,0,75
89,450,122,17,100,7,8,19,1,21,4,1,4,32,3,-8,0,75
84,286,91,22,96,6,6,23,1,26,0,2,8,32,4,1,0,50
75,198,114,26,93,6,5,28,5,46,0,1,18,15,7,3,0,77
82,311,133,18,100,7,8,21,0,22,-7,0,34,32,4,2,1,60
69,165,62,12,92,6,6,12,2,58,0,1,97,71,4,1,3,100
65,121,41,20,88,0,2,26,3,27,0,5,15,52,3,4,0,47
68,39,20,10,100,7,8,10,3,60,5,1,51,95,3,3,2,86
69,158,58,24,96,6,6,25,2,16,1,6,26,32,4,-8,2,43
69,200,73,20,92,3,5,24,2,38,0,5,2,32,6,1,0,64
73,372,86,23,83,6,6,23,2,35,0,5,9,75,2,6,0,53
83,294,110,22,86,6,6,22,2,45,0,0,1,96,2,2,0,36
67,124,36,12,92,6,6,12,3,75,22,0,99,91,1,3,1,100
62,170,78,53,100,6,8,58,5,24,0,2,39,90,3,4,3,50
76,65,31,3,100,7,8,3,0,0,0,0,48,32,2,-8,1,67
57,10,7,6,100,7,8,6,6,50,-7,0,97,93,3,2,1,100
86,248,150,22,100,7,8,35,0,54,-7,0,4,32,3,-8,0,50
71,367,145,38,95,6,6,41,1,29,1,4,21,97,13,2,1,73
61,174,61,25,88,4,6,26,3,12,-7,0,41,21,6,2,1,57
88,407,170,12,100,7,8,2,0,17,23,0,7,25,2,1,0,60
82,127,57,50,100,5,7,28,3,20,9,0,19,98,6,4,0,59
65,251,67,23,92,4,5,24,3,79,0,1,86,87,2,3,1,100
